"","N1_1","N2_1","N3_1","N4_1","N5_1","N6_1","N1_2","N2_2","N3_2","N4_2","N5_2","N6_2"
"O43463",0,0,0,0,0,0,0,0,0,0,0,0
"O43464",0,0,0,0,0,0,0,0,0,0,0,0
"O43482",0,0,0,0,0,0,0,0,0,0,0,0
"O43502",0,0,0,0,0,0,0,0,0,0,0,0
"O43504",0,0,0,0,0,0,0,0,0,0,0,0
"O43513",0,0,0,0,0,0,0,0,0,0,0,0
"O43516",0,0,0,0,0,0,0,0,0,0,0,0
"O43524",0,0,0,0,0,0,0,0,0,0,0,0
"O43525",0,0,0,0,0,0,0,0,0,0,0,0
"O43526",0,0,0,0,0,0,0,0,0,0,0,0
"O43541",0,0,0,0,0,0,0,0,0,0,0,0
"O43542",0,0,0,0,0,0,0,0,0,0,0,0
"O43543",0,0,0,0,0,0,0,0,0,0,0,0
"O43556",0,0,0,0,0,0,0,0,0,0,0,0
"O43561",0,0,0,0,0,0,0,0,0,0,0,0
"O43581",0,0,0,0,0,0,0,0,0,0,0,0
"O43615",0,0,0,0,0,0,0,0,0,0,0,0
"O43617",0,0,0,0,0,0,0,0,0,0,0,0
"O43633",0,0,0,0,0,0,0,0,0,0,0,0
"O43660",0,0,0,0,0,0,0,0,0,0,0,0
"O43670",0,0,0,0,0,0,0,0,0,0,0,0
"O43674",0,0,0,0,0,0,0,0,0,0,0,0
"O43676",0,0,0,0,0,0,0,0,0,0,0,0
"O43677",0,0,0,0,0,0,0,0,0,0,0,0
"O43678",0,0,0,0,0,0,0,0,0,0,0,0
"O43683",0,0,0,0,0,0,0,0,0,0,0,0
"O43684",0,0,0,0,0,0,0,0,0,0,0,0
"O43707",0,0,0,0,0,0,0,0,0,0,0,0
"O43716",0,0,0,0,0,0,0,0,0,0,0,0
"O43719",0,0,0,0,0,0,0,0,0,0,0,0
"O43739",0,0,0,0,0,0,0,0,0,0,0,0
"O43741",0,0,0,0,0,0,0,0,0,0,0,0
"O43747",0,0,0,0,0,0,0,0,0,0,0,0
"O43752",0,0,0,0,0,0,0,0,0,0,0,0
"O43791",0,0,0,0,0,0,0,0,0,0,0,0
"O43809",0,0,0,0,0,0,0,0,0,0,0,0
"O43815",0,0,0,0,0,0,0,0,0,0,0,0
"O43837",0,0,0,0,0,0,0,0,0,0,0,0
"O43913",0,0,0,0,0,0,0,0,0,0,0,0
"O43914",0,0,0,0,0,0,0,0,0,0,0,0
"O43915",0,0,0,0,0,0,0,0,0,0,0,0
"O43918",0,0,0,0,0,0,0,0,0,0,0,0
"O43920",0,0,0,0,0,0,0,0,0,0,0,0
"O43924",0,0,0,0,0,0,0,0,0,0,0,0
"O43929",0,0,0,0,0,0,0,0,0,0,0,0
"O43933",0,0,0,0,0,0,0,0,0,0,0,0
"O60216",0,0,0,0,0,0,0,0,0,0,0,0
"O60220",0,0,0,0,0,0,0,0,0,0,0,0
"O60231",0,0,0,0,0,0,0,0,0,0,0,0
"O60244",0,1,1,1,1,1,1,0,1,0,1,1
"O60260",0,0,0,0,0,0,0,0,0,0,0,0
"O60262",0,0,0,0,0,0,0,0,0,0,0,0
"O60264",0,0,0,0,0,0,0,0,0,0,0,0
"O60271",0,0,0,0,0,0,0,0,0,0,0,0
"O60282",0,0,0,0,0,0,0,0,0,0,0,0
"O60296",0,0,0,0,0,0,0,0,0,0,0,0
"O60306",0,0,0,0,0,0,0,0,0,0,0,0
"O60313",0,0,0,0,0,0,0,0,0,0,0,0
"O60315",0,0,0,0,0,0,0,0,0,0,0,0
"O60341",0,0,1,0,0,0,0,0,1,1,1,1
"O60346",0,0,0,0,0,0,0,0,0,0,0,0
"O60447",0,0,0,0,0,0,0,0,0,0,0,0
"O60462",0,0,0,0,0,0,0,0,0,0,0,0
"O60486",0,0,0,0,0,0,0,0,0,0,0,0
"O60494",0,0,0,0,0,0,0,0,0,0,0,0
"O60504",0,0,0,0,0,0,0,0,0,0,0,0
"O60506",0,0,0,0,0,0,0,0,0,0,0,0
"O60508",0,0,0,0,0,0,0,0,0,0,0,0
"O60563",0,0,0,0,0,0,0,0,0,0,0,0
"O60566",0,0,0,0,0,0,0,0,0,0,0,0
"O60568",0,0,0,0,0,0,0,0,0,0,0,0
"O60583",0,0,0,0,0,0,0,0,0,0,0,0
"O60603",0,0,0,0,0,0,0,0,0,0,0,0
"O60609",0,0,0,0,0,0,0,0,0,0,0,0
"O60610",0,0,0,0,0,0,0,0,0,0,0,0
"O60645",0,0,0,0,0,0,0,0,0,0,0,0
"O60664",0,0,0,0,0,0,0,0,0,0,0,0
"O60671",0,0,0,0,0,0,0,0,0,0,0,0
"O60673",0,0,0,0,0,0,0,0,0,0,0,0
"O60674",0,0,0,0,0,0,0,0,0,0,0,0
"O60706",0,0,0,0,0,0,0,0,0,0,0,0
"O60716",0,0,0,0,0,0,0,0,0,0,0,0
"O60749",0,0,0,0,0,0,0,0,0,0,0,0
"O60762",0,0,0,0,0,0,0,0,0,0,0,0
"O60783",0,0,0,0,0,0,0,0,0,0,0,0
"O60826",0,0,0,0,0,0,0,0,0,0,0,0
"O60830",0,0,0,0,0,0,0,0,0,0,0,0
"O60832",0,0,0,0,0,0,0,0,0,0,0,0
"O60870",0,0,0,0,0,0,0,0,0,0,0,0
"O60885",0,0,0,0,0,0,0,0,0,0,0,0
"O60894",0,0,0,0,0,0,0,0,0,0,0,0
"O60895",0,0,0,0,0,0,0,0,0,0,0,0
"O60896",0,0,0,0,0,0,0,0,0,0,0,0
"O60907",0,0,0,0,0,0,0,0,0,0,0,0
"O60921",0,0,0,0,0,0,0,0,0,0,0,0
"O60925",1,1,1,1,1,1,1,1,1,1,1,1
"O60934",0,0,0,0,0,0,0,0,0,0,0,0
"O60939",0,0,0,0,0,0,0,0,0,0,0,0
"O75051",0,0,0,0,0,0,0,0,0,0,0,0
"O75052",0,0,0,0,0,0,0,0,0,0,0,0
"O75077",0,0,0,0,0,0,0,0,0,0,0,0
"O75116",0,0,0,0,0,0,0,0,0,0,0,0
"O75140",0,0,0,0,0,0,0,0,0,0,0,0
"O75143",0,0,0,0,0,0,0,0,0,0,0,0
"O75146",0,0,0,0,0,0,0,0,0,0,0,0
"O75147",0,0,0,0,0,0,0,0,0,0,0,0
"O75150",0,0,0,0,0,0,0,0,0,0,0,0
"O75161",0,0,0,0,0,0,0,0,0,0,0,0
"O75164",0,0,0,0,0,0,0,0,0,0,0,0
"O75170",0,0,0,0,0,0,0,0,0,0,0,0
"O75175",0,0,0,0,0,0,0,0,0,0,0,0
"O75182",0,0,0,0,0,0,0,0,0,0,0,0
"O75197",0,0,0,0,0,0,0,0,0,0,0,0
"O75251",0,0,0,0,0,0,0,0,0,0,0,0
"O75293",0,0,0,0,0,0,0,0,0,0,0,0
"O75298",0,0,0,0,0,0,0,0,0,0,0,0
"O75306",0,0,0,0,0,0,0,0,0,0,0,0
"O75317",0,0,0,0,0,0,0,0,0,0,0,0
"O75326",0,0,0,0,0,0,0,0,0,0,0,0
"O75330",0,0,0,0,0,0,0,0,0,0,0,0
"O75340",0,0,0,0,0,0,0,0,0,0,0,0
"O75362",0,0,0,0,0,0,0,0,0,0,0,0
