"","N1_1","N2_1","N3_1","N4_1","N5_1","N6_1","N1_2","N2_2","N3_2","N4_2","N5_2","N6_2"
"O60343",0,0,0,0,0,10170.48889,0,0,0,0,0,17524.54722
"Q5SYB0",177772.0361,179981.8806,127141.2083,154819.925,229655.8833,198108.9361,204722.1472,224020.2972,144444.7472,176213.9167,271920.3667,233372.8583
"P06681",0,31161.05556,0,0,27796.91111,30039.09167,0,30381.40556,35969.43889,0,33325.86111,0
"Q96RQ3",63816.85,57080.76111,77488.90556,112417.95,67333.53611,83842.96667,60788.275,58862.075,77070.33333,100616.2694,69379.75556,79024.33333
"P25705",1438531.053,2264993.1,2907601.536,2264993.1,2049548.808,2264993.1,1507483.567,2264993.1,2907601.536,2907601.536,2414317.114,2264993.1
"Q969H8",0,0,0,0,0,0,77594.35833,0,0,0,0,0
"O14618",22496.77222,21468.525,19764.20278,42192.09722,12684.50278,27367.98056,29862.29722,20116.76667,0,0,0,34116.76111
"P07911",93981.025,65130.74167,154819.925,79971.32778,104937.0056,623040.5528,105601.5139,54417.16389,136362.2056,80614.20278,94309.38889,566103.9194
"O76003",24335.52222,33435.33611,38212.23333,16768.37222,22174.56667,18200.78056,30381.40556,29176.40833,17715.21111,29430.84444,24335.52222,16143.24444
"Q04760",92200.61944,26947.59722,31084.26944,50797.625,30209.1,128015.5778,99028.475,27191.27222,46219.51944,49739.87222,28285.6,69379.75556
"O43451",80345.41111,23370.88056,30488.41389,45654.69722,44228.63889,137596.7167,81957.88611,28782.87222,33069.91389,52786.48889,56917.53889,145951.8722
"Q9Y3Z3",6501.191667,5707.747222,0,0,1932.863889,1947.147222,8569.097222,12327.9,0,0,6211.608333,7593.127778
"P10809",670786.8861,706520.2861,885197.1139,940141.9917,861796.25,805128.3833,623040.5528,643592.9806,885197.1139,940141.9917,861796.25,775969.2167
"Q9Y3A5",0,0,0,21381.11389,0,0,0,22003.32778,0,30488.41389,0,0
"O60701",82107.81944,78753.84722,58282.48333,32336.43056,72396.48333,57523.94167,85345.175,73098.975,69296.96944,37872.59722,73631.48889,56433.61389
"Q92598",0,31989.24167,0,0,23741.28889,0,33069.91389,0,0,34506.98889,46154.89444,0
"Q13838",54839.00278,55348.77778,61553.76944,62503.04167,70713.01944,69842.09722,57169.19444,54642.17222,64901.59167,60140.20833,63732.60278,74546.25278
"O60826",0,0,0,0,0,0,0,0,0,92656.40278,43279.69444,0
"P63220",0,0,0,0,0,0,0,0,0,0,0,0
"Q08722",0,0,0,0,0,0,0,0,0,0,0,0
"P63244",98642.34167,114678.2556,96108.93056,105601.5139,118268.9778,110112.0222,93224.90833,116010.1111,96407.83889,102286.7944,121022.2306,109006.6667
"Q9Y4L1",25444.86389,46053.91944,26881.08056,28285.6,40858.48889,28213.44444,27005.53056,44306.31944,33435.33611,26157.96667,37687.10278,29111.44444
"Q6PI48",36825.06389,44156.46944,46895.875,44695.74722,37872.59722,47039.95,38870.95556,45731.62222,55839.27222,45427.61389,43889.17778,48438.28611
"Q4G176",7930.744444,6142.9,16143.24444,6414.702778,4398.755556,10243.85833,9229.783333,10943.79722,18045.24167,10538.05278,9504.372222,9837.458333
"O95861",74058.15278,80102.56944,91800.23889,78923.71389,69986.83889,81325.09444,0,0,95661.27222,88437.70278,62003.42222,72497.49722
"O60437",0,0,0,0,0,1491.994444,0,0,0,0,113916.8111,5202.177778
"Q01518",167923.6944,177772.0361,125846.9583,161420.0417,173659.3778,153483.2472,162665.875,183892.9583,138626.9111,159352.6944,177210.95,154345.9056
"P08603",29597.68056,83390.32778,50996.28889,38443.16111,50108.55,39920.875,33837.11389,84820.40556,45174.87778,44946.27778,55348.77778,45871.05
"O60256",0,16542.78611,0,0,0,0,0,15516.17778,0,0,22496.77222,0
"O00515",16703.18056,26157.96667,15847.525,14738.53611,28070.84444,6414.702778,18677.57778,32524.26667,20275.925,46524.02083,43350.85833,33388.925
"P05091",633821.0389,449960.5111,805128.3833,820257.1583,706520.2861,643592.9806,670786.8861,435248.4444,805128.3833,838302.8639,682653.8611,659554.425
"P02749",84009.8,75506.47222,97932.12222,79024.33333,73411.05833,81635.41944,113400.2778,83842.96667,101544.7639,139670.3833,81957.88611,124568.0333
"P08473",62845.96667,52878.94722,82644.38333,109838.8889,105857.7472,50560.56389,63640.03333,88271.58056,92823.64722,103144.4417,95207.85,60992.95833
